국가,대학명,항목,현재값,문제
AUSTRALIA,The University of Melbourne,어학요건,Students must meet our English requirements via https://study.unimelb.edu.au/how-to-apply/,URL만 있음
AUSTRALIA,University of Newcastle,어학요건,All English language requirements found on this website. We do not accept a letter from Ho,URL만 있음
AUSTRALIA,Queensland University of Technology,어학요건,Pleasse refer to entry requirements: https://www.qut.edu.au/study/international/apply-for-,URL만 있음
AUSTRALIA,University of Technology Sydney,최소학점,Credit Information can be found here https://www.uts.edu.au/for-students/international/stu,너무 김
AUSTRALIA,University of Technology Sydney,최대학점,Credit Information can be found here https://www.uts.edu.au/for-students/international/stu,너무 김
AUSTRALIA,The Australian National University,학기수,(비어있음),미확보
AUSTRIA,"FHS, Kufstein Tirol University of Applied Sciences",어학요건,N/A,점수 없음(문장만)
AUSTRIA,"FHS, Kufstein Tirol University of Applied Sciences",최소학점,21(if they want to do more or less we need a confirmation from their university),너무 김
AUSTRIA,MCI Management Center Innsbruck,어학요건,SKKU Letter of proficiency,점수 없음(문장만)
BELGIUM,ICHEC Brussels Management School,어학요건,N/A,점수 없음(문장만)
BELGIUM,Free University of Brussels (ULB),어학요건,N/A,점수 없음(문장만)
BRAZIL,Unisinos University,어학요건,There's no language certificate requirement.,점수 없음(문장만)
BRAZIL,University of Sao Paulo,최소학점,This is for the home university of the student to deliberate.,너무 김
BRAZIL,University of Sao Paulo,최대학점,This is for the home university of the student to deliberate.,너무 김
BRAZIL,UNICAMP (University of Campinas),어학요건,N/A,점수 없음(문장만)
CANADA,University of Saskatchewan,최소학점,Undergraduate students are required to take a minimum of 9 credit units (or 3 courses),너무 김
CANADA,University of Saskatchewan,최대학점,Undergraduate students a maximum is 15 credit units (or 5 courses) per term,너무 김
CANADA,Universite du Quebec a Montreal(UQAM),학기수,(비어있음),미확보
CANADA,University of Manitoba,최소GPA,Good academic standing as defined by Yonsei,문장형(정규화 필요)
CANADA,Memorial University of Newfoundland,어학요건,"We do not accept letter of proficiency.
 https://www.mun.ca/undergrad/admissions/i-want-to",URL만 있음
CANADA,University of British Columbia(UBC),학기수,(비어있음),미확보
CANADA,University of Toronto,학기수,(비어있음),미확보
CANADA,University of Montreal,최소학점,https://international.umontreal.ca/english/international-students/student-exchange-program,너무 김
CANADA,University of Montreal,최대학점,https://international.umontreal.ca/english/international-students/student-exchange-program,너무 김
CANADA,HEC Montreal,어학요건,n/a,점수 없음(문장만)
CHINA,Communication University of China,최소학점,"It depens on student's home instituation's credit transfer requirements,we will not set li",너무 김
CHINA,Huazhong University of Science and Technology,어학요건,"TOEFL iBT ≥80, IELTS ≥6.0, HSK 4 ≥180 (Science/Engineering/Medicine), HSK 5 ≥180 (Economic",너무 김(압축 필요)
CHINA,Shandong University,학기수,(비어있음),미확보
CHINA,"Renmin Business School, Renmin University of China",수업언어,확인필요,미확보
CHINA,Shanghai Jiao Tong University,최소학점,at least enroll in one course; credit requirements follow home school regulations,너무 김
CZECH REPUBLIC,Charles University,최대학점,"Undergraduate exchange students are asked to apply to at least four courses, graduate stud",너무 김
DENMARK,University of Copenhagen,어학요건,"No language requirements for admission, but there are language requirments for some progra",URL만 있음
DENMARK,Roskilde University,학기수,(비어있음),미확보
DENMARK,Aalborg University,어학요건,Please read language requirements in the link https://www.en.aau.dk/education/apply/exchan,URL만 있음
ECUADOR,Universidad San Francisco de Quito,어학요건,Letter of proficiency issued by the Office of International Relations SKKU,점수 없음(문장만)
FINLAND,LUT University (Lappeenranta-Lahti University of Technology),어학요건,"Cambridge B2 First 180+, C1 Advanced/C2 Proficiency A/B/C, IELTS 6.5+, TOEFL iBT 90+, PTE ",너무 김(압축 필요)
FINLAND,University of Vaasa,어학요건,We expect students to have a minimum of B2 English level. No official language test requir,너무 김(압축 필요)
FINLAND,University of Vaasa,최소학점,No minimum credits required. The regular study pace is 20-30 ECTS credits per semester,너무 김
FINLAND,University of Vaasa,최대학점,No maximum. Students are recommended to take 20-30 ECTS credits per semester.,너무 김
FINLAND,Kajaani University of Applied Sciences,어학요건,N/A,점수 없음(문장만)
FINLAND,Kajaani University of Applied Sciences,해외수학전공,"학부 대부분 개방(International Business, Tourism, Esports Business, Sports and Leisure Management",너무 김(요약 필요)
FINLAND,Hanken School of Economics,최소학점,24-30 ECTS (30 ECTS is normal workload) per semester,너무 김
FINLAND,Haaga-Helia University of Applied Sciences,어학요건,SKKU Letter of Proficiency,점수 없음(문장만)
FINLAND,Aalto University,최소학점,"Normal study load is 30 ECTS per semester, completing a little less (liek 20 ECTS) is ok.",너무 김
FINLAND,Aalto University,최대학점,"no maximum, but as 30 ECTS is a full time study load per semester, we do not recommend goi",너무 김
FRANCE,ICN Business School,최소GPA,No minimum GPA required but required academic level : For Bachelor 2 level : Required acad,문장형(정규화 필요)
FRANCE,ICN Business School,최소학점,No minimum credits/ECTS required. Exchange students must comply with the regulations of th,너무 김
FRANCE,Jean Moulin University Lyon 3,최대학점,No MAXIMUM credits for DEUF program. 31MAXIMUM credits for SELF program,너무 김
FRANCE,SKEMA Business School,최대학점,30 ECTS credits or 21 ECTS credits (depending the program),너무 김
FRANCE,SKEMA Business School,학기수,(비어있음),미확보
FRANCE,IESEG School of Management,어학요건,N/A,점수 없음(문장만)
FRANCE,Lille Catholic University,어학요건,N/A,점수 없음(문장만)
FRANCE,EDHEC Business School,어학요건,NA,점수 없음(문장만)
FRANCE,Toulouse Business School,최소학점,"It depends on the exchange, please check how many ECTs are required in the link: https://w",너무 김
FRANCE,Toulouse Business School,최대학점,"It depends on the exchange, please check how many ECTs are required in the link: https://w",너무 김
FRANCE,National Institute for Oriental Languages and Civilizations (INALCO),어학요건,"DELF/DALF B1+ (Language and Civilisation), DELF/DALF C1+ (Professional Track), JLPT N3 (Ja",너무 김(압축 필요)
FRANCE,ECE Paris,어학요건,We accept Letter of proficiency from home universities (please check our factsheet for det,URL만 있음
FRANCE,ECE Paris,해외수학전공,"모든 학과 개방(Artificial Intelligence, Data Management, Cybersecurity, Embedded Systems, Energy",너무 김(요약 필요)
GERMANY,Ruhr University of Bochum,어학요건,"TOEFL, IELTS",점수 없음(문장만)
GERMANY,Chemnitz University of Technology,어학요건,B2 level in English is strongly recommended but no language certificate needs to b provide,너무 김(압축 필요)
GERMANY,Leuphana University Luneburg,어학요건,Please check our fact sheet,점수 없음(문장만)
GERMANY,Leuphana University Luneburg,수업언어,확인필요,미확보
GERMANY,Leuphana University Luneburg,최소학점,The standard semester workload comprises 30 ECTS credits.,너무 김
GERMANY,Leuphana University Luneburg,최대학점,A standard module at Leuphana University comprises 5 ECTS credits,너무 김
GERMANY,Leuphana University Luneburg,학기수,(비어있음),미확보
GERMANY,Kiel University,어학요건,"German B1+, English B1+; Medicine/German Philology: German B2+; Biology: German C1+; Pharm",너무 김(압축 필요)
GERMANY,Kiel University,최대학점,approx. 25 to 30 (depending on the courses offered in English and personal preferences etc,너무 김
GERMANY,Ludwig Maximilian University of Munich,어학요건,Website: www.lmu.de/en/international/incoming,점수 없음(문장만)
GERMANY,University of Bonn,최소학점,It is recommended that students take between 12 and 18 contact hours per semester for a to,너무 김
GERMANY,University of Bonn,최대학점,It is recommended that students take between 12 and 18 contact hours per semester for a to,너무 김
INDONESIA,Gadjah Mada University (UGM),수업언어,확인필요,미확보
ITALY,Polytechnic University of Milan,어학요건,N/A,점수 없음(문장만)
ITALY,Polytechnic University of Milan,수업언어,확인필요,미확보
ITALY,Polytechnic University of Milan,최소학점,https://www.polimi.it/en/exchange-students-incoming/after-acceptance/exchange-programmes/b,너무 김
ITALY,Polytechnic University of Milan,최대학점,https://www.polimi.it/en/exchange-students-incoming/after-acceptance/exchange-programmes/b,너무 김
ITALY,Bocconi University,어학요건,N/A,점수 없음(문장만)
ITALY,Bocconi University,최소GPA,Bocconi University does not foresee any specific GPA requirements as we fully trust our pa,문장형(정규화 필요)
ITALY,Bocconi University,최소학점,"There is no minimum number of course credits required. However, incoming exchange students",너무 김
ITALY,Bocconi University,최대학점,"Please note that there is no limit to the number of course credits, as long as students st",너무 김
JAPAN,Daito Bunka University,어학요건,N/A,점수 없음(문장만)
JAPAN,Daito Bunka University,수업언어,확인필요,미확보
JAPAN,Hitotsubashi University,최소학점,There are no minimum credits but they have to take 6 slots per week to maitain their visa ,너무 김
JAPAN,Ritsumeikan University,최소학점,International students are required by Japanese law to attend a minimum of 10 hours of cla,너무 김
JAPAN,Shinshu University,학기수,(비어있음),미확보
JAPAN,Nagoya University,최소학점,Minimum 15 credits per semester (or 30 credits per year),너무 김
JAPAN,Toyo University,최소학점,https://www.toyo.ac.jp/academics/international-exchange/prospective/exchange_program/,너무 김
JAPAN,Toyo University,최대학점,https://www.toyo.ac.jp/academics/international-exchange/prospective/exchange_program/,너무 김
JAPAN,Hokkaido University,최소학점,HUSTEP: Spring Half year course students must register for 7 or more timeslots a week to c,너무 김
JAPAN,Tohoku University,최소학점,"Minimum workload per term/semester (in units/credits): Please check each website: COLABS, ",너무 김
JAPAN,Tohoku University,최대학점,Maximum workload per term/semester (in units/credits): Up to 24 credits per semester. (Cre,너무 김
KAZAKHSTAN,KIMEP University,어학요건,We accept Letter of proficiency issued by the Office of International Relations SKKU,점수 없음(문장만)
KAZAKHSTAN,KIMEP University,수업언어,확인필요,미확보
MEXICO,Tecnologico de Monterrey (ITESM),최소GPA,"2.5/4.0 (USA System), 80 (Mexican System)",문장형(정규화 필요)
NETHERLANDS,Hanze University of Applied Sciences,어학요건,n/a,점수 없음(문장만)
NETHERLANDS,Radboud University,최소학점,"For us: 0, but in order to get a visa you need 25 ECTS",너무 김
NETHERLANDS,Radboud University,최대학점,Full time courseload is 30 ECTS/semester. We don't enforce a maximum but advice not to tak,너무 김
NETHERLANDS,Tilburg University,최소학점,"Minimum 1 course (most courses are 6 ECTS but some are 3, 4 or 5)",너무 김
NETHERLANDS,Fontys University of Applied Sciences,어학요건,Differs per programme,점수 없음(문장만)
NETHERLANDS,Maastricht University,어학요건,"School of Business and Economics: null, Univeristy College Maastricht: see website, Maastr",너무 김(압축 필요)
NETHERLANDS,Maastricht University,최소GPA,"School of Business and Economics: null, Univeristy College Maastricht: 3.0/4.0, Maastricht",문장형(정규화 필요)
NETHERLANDS,Maastricht University,최소학점,"1. School of Business and Economics: As exchange student, you can only register for a maxi",너무 김
NETHERLANDS,Maastricht University,최대학점,"1. School of Business and Economics: 
 As exchange student, you can only register for a ma",너무 김
NETHERLANDS,Maastricht University,해외수학전공,"(마흐스트리트 지원자는 본인이 지원하고자 하는 영역을 아래에서 정확하게 확인하시고, 지원 시 캠퍼스를 기재하시기 바랍니다)
1. School of Business",너무 김(요약 필요)
