국가,대학명,지원가능 전공(SKKU),해외대학 수학 전공,최소 GPA,완료 학기 수,최소 학점,최대 학점,위치(도심 거리),수업 언어,어학 요건,특징,출처 요약,참고 링크,문의 이메일
AUSTRALIA,The University of Melbourne,경영대학,교환학생 수용하는 모든 학과 개방,제한 없음/명시 없음,2학기 이상,37.5 credit points,50 credit points,도시 — 멜버른 도심에 위치,영어,IELTS 6.5점 이상 (전 밴드 6.0) 또는 TOEFL iBT 79점 이상,예술·디자인 산업 중심지로서의 도시 인프라 · 다양한 국제학생 커뮤니티 활성화 · 남반구 최대 규모의 대학 도서관 보유,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://study.unimelb.edu.au/how-to-apply/international-exchange-and-study-abroad-applications,belinda.price@unimelb.edu.au
AUSTRALIA,University of Newcastle,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상,30~40 units (3~4과목),50 units (5과목),준도시 — 소도시 뉴캐슬 시내 (시드니에서 기차 약 2시간 10분),영어,IELTS 6.0점 이상 (전 밴드 6.0) 또는 TOEFL iBT 64점 이상 또는 Duolingo 110점 이상 또는 PTE 50점 이상 (학부 기준),"교내 기숙사 미보장 (경쟁적, 조기 신청 권장) · 시드니 접근성 좋은 해변 도시 · 휴양지 분위기 캠퍼스·자연 경관",GPA:이메일문의 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.newcastle.edu.au/study/international/study-with-us/study-abroad-and-exchange,study-abroad@newcastle.edu.au
AUSTRALIA,Swinburne University of Technology,모든 전공,교환학생 수용하는 모든 학과,제한 없음/명시 없음,2학기 이상,37.5 credit points,50 credit points,준도시 — 멜버른 도심까지 트램 약 25분,영어,IELTS 6.0점 이상 또는 TOEFL iBT 64점 이상 또는 PTE Academic 50점 이상,멜버른 미식·카페 문화 체험 가능 · 도심 접근성 좋은 조용한 주거지,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.swinburne.edu.au/courses/planning-your-future/study-abroad-in-melbourne/student-exchange-program/,exchange@swin.edu.au
AUSTRALIA,University of Western Australia(UWA),모든 전공,교환학생 수용하는 모든 학과,0.0/4.0,1학기 이상,18 UWA credit points (22.5 ECTS),24 UWA credit points (30 ECTS),준도시 — 퍼스 도심까지 버스 약 15분,영어,IELTS 6.5점 이상 또는 TOEFL iBT 79점 이상,인도양 접한 해변 도시 휴양지 매력 · 캠퍼스 내 호주 원주민 문화 체험 가능,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.uwa.edu.au/study/discover-uwa/student-exchange/inbound,
AUSTRALIA,The University of New South Wales,모든 전공,교환학생 수용하는 모든 학과,3.0/4.0,2학기 이상,18 UoC,24 UoC,준도시 — 시드니 도심까지 기차 약 15분,영어,TOEFL 90점 이상 또는 IELTS 6.5점 이상,바다와 가까운 휴양 도시 분위기 · 미식과 카페 문화로 유명한 도시,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.unsw.edu.au/study/international-students/study-abroad#studentexchange,exchange@unsw.edu.au
AUSTRALIA,Queensland University of Technology,경영대학,교환학생 수용하는 모든 학과 개방,2.5/4.0,2학기 이상,36 QUT credits (22.5 ECTS),48 QUT credits (30 ECTS),도시 — 브리즈번 도심에 위치,영어,IELTS 6.5점 이상 (전 밴드 6.0) 또는 TOEFL iBT 79점 이상,강변 카페·레스토랑 밀집해 분위기 좋음 · 브리즈번 강 유람선 타고 도시 경관 즐기기 · 현대적 아트 갤러리·박물관 접근성 우수,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.qut.edu.au/study/international/apply-for-study-abroad,stae@qut.edu.au
AUSTRALIA,University of Technology Sydney,모든 전공,교환학생 수용하는 모든 학과,2.5/4.0,2학기 이상 (1년/60 ECTS 완료),18 credit points,24 credit points,도시 — 시드니 도심에 위치,영어,IELTS 6.5점 이상 또는 TOEFL iBT 79점 이상 또는 PTE 58점 이상,시드니 오페라하우스 근접 문화 체험 · 디자인·IT 분야 호주 최고 수준 교육 · 다국적 푸드마켓·해변 카페 문화,GPA:웹 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.uts.edu.au/for-students/international/study-abroad-exchange-uts,studyabroad.exchange@uts.edu.au
AUSTRALIA,University of the Sunshine Coast,모든 전공,교환학생 수용하는 모든 학과,제한 없음 (홈교 기준 적용),1학기 이상,3과목,4과목,준도시 — 소도시 선샤인코스트 시내 (브리즈번에서 기차 또는 버스 약 90분),영어,TOEFL iBT 79점 이상 또는 IELTS 6.0점 이상 또는 PTE Academic 54점 이상,해양 스포츠·자연 탐방 기회 풍부 · 브리즈번 접근성 좋은 소도시 휴양지 · 캠퍼스 주변 자연 경관 활용한 휴식 공간,GPA:웹 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://edit.usc.edu.au/international/global-learning,global@usc.edu.au
AUSTRALIA,The Australian National University,모든 전공,교환학생 수용하는 모든 학과,4.0/7.0,제한 없음,18 units (감축 승인 시; 표준 24),24 units,준도시 — 캔버라 도심까지 버스 약 15분,영어,IELTS 6.5점 이상 또는 TOEFL iBT 80점 이상 또는 PTE Academic 64점 이상 또는 Cambridge C1 Advanced,호주 국립대 명성으로 글로벌 네트워크 강점 · 정치·행정 중심지 도시 특유의 차분한 분위기 · 자연사 박물관·전쟁 기념관 등 문화시설 접근성 우수,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://study.anu.edu.au/apply/applying-exchange-anu,global.programs@anu.edu.au
AUSTRIA,"FHS, Kufstein Tirol University of Applied Sciences",모든 전공,교환학생 수용하는 모든 학과,제한 없음/명시 없음,명시 없음,21 ECTS (증감 시 홈교 확인),30 ECTS,"준도시 — 소도시·마을(쿠프슈타인) 소재, 인스브루크에서 기차 약 50분",영어,명시 없음,알프스 근접 자연 경관·아웃도어 활동 천국 · 티롤 지역 전통 문화·독일어권 생활 체험 · 인스브루크 접근성 좋은 소도시 생활,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.fh-kufstein.ac.at/en/international/exchange-students,iro@fh-kufstein.ac.at
